"","player_name","player_url","Season","Age","Squad","Country","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"82","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2014-2015",29,"Real Madrid","","1. Champions Lg",11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2014-2015",29,"Real Madrid","ESP","Copa del Rey",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2014-2015",29,"Real Madrid","ESP","1. La Liga",34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2014-2015",29,"Real Madrid","","Super Cup",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2015-2016",30,"Real Madrid","","1. Champions Lg",12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2015-2016",30,"Real Madrid","ESP","1. La Liga",35.4,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"88","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2016-2017",31,"Real Madrid","","1. Champions Lg",13.3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"89","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2016-2017",31,"Real Madrid","ESP","Copa del Rey",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2016-2017",31,"Real Madrid","ESP","1. La Liga",28.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"91","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2017-2018",32,"Real Madrid","","1. Champions Lg",13,5,2,1,4,0,1,4,25,3,8,3,5,3,8,10,0
